id,nome,codigo,sigla,municipio_id,padrao,principal
417,Divinópolis,15,NULL,248,N,N
418,Trairão,05,NULL,249,N,N
419,Altamira,05,NULL,250,N,N
420,"Castelo dos Sonhos",07,NULL,250,N,N
421,Anapu,05,NULL,251,N,N
422,"Brasil Novo",05,NULL,252,N,N
423,Medicilândia,05,NULL,253,N,N
424,"União da Floresta",35,NULL,253,N,N
425,Pacajá,05,NULL,254,N,N
426,"Senador José Porfírio",05,NULL,255,N,N
427,Uruará,05,NULL,256,N,N
428,Alvorada,10,NULL,256,N,N
429,"Vitória do Xingu",05,NULL,257,N,N
430,"Breu Branco",05,NULL,258,N,N
431,Itupiranga,05,NULL,259,N,N
432,Jacundá,05,NULL,260,N,N
433,"Nova Ipixuna",05,NULL,261,N,N
434,"Novo Repartimento",05,NULL,262,N,N
435,"Belo Monte do Pará",10,NULL,262,N,N
436,Maracajá,20,NULL,262,N,N
437,"Vitória da Conquista",40,NULL,262,N,N
438,Tucuruí,05,NULL,263,N,N
439,"Abel Figueiredo",05,NULL,264,N,N
440,"Bom Jesus do Tocantins",05,NULL,265,N,N
441,"Dom Eliseu",05,NULL,266,N,N
442,"Goianésia do Pará",05,NULL,267,N,N
443,Paragominas,05,NULL,268,N,N
444,"Rondon do Pará",05,NULL,269,N,N
445,Ulianópolis,05,NULL,270,N,N
446,Bannach,05,NULL,271,N,N
447,"Cumaru do Norte",05,NULL,272,N,N
448,"Ourilândia do Norte",05,NULL,273,N,N
449,"São Félix do Xingu",05,NULL,274,N,N
450,Taboca,25,NULL,274,N,N
451,"Vila Ladeira Vermelha",30,NULL,274,N,N
452,"Vila Lindoeste",35,NULL,274,N,N
453,"Vila Nereu",40,NULL,274,N,N
454,Tucumã,05,NULL,275,N,N
455,"Água Azul do Norte",05,NULL,276,N,N
456,"Canaã dos Carajás",05,NULL,277,N,N
457,Curionópolis,05,NULL,278,N,N
458,"Eldorado dos Carajás",05,NULL,279,N,N
459,Parauapebas,05,NULL,280,N,N
460,"Brejo Grande do Araguaia",05,NULL,281,N,N
461,"São Raimundo do Araguaia",15,NULL,281,N,N
